GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000165521.11,89.7251448,-2.063928094,0.426327776,-4.841176701,1.29E-06,0.000199742
ENSG00000170456.10,1151.288679,1.554514148,0.321470379,4.835637274,1.33E-06,0.000203703
ENSG00000072041.12,1358.656534,1.494295591,0.310397075,4.814141989,1.48E-06,0.000223241
ENSG00000164307.8,9212.604924,1.435105808,0.29805757,4.814861122,1.47E-06,0.000223241
ENSG00000037280.11,377.9433365,1.766113437,0.36751408,4.805566727,1.54E-06,0.000231162
ENSG00000078596.6,426.561439,-1.725847626,0.360574978,-4.78637657,1.70E-06,0.00025237
ENSG00000126709.10,4089.231524,1.631602093,0.341677936,4.775263248,1.79E-06,0.000264616
ENSG00000005882.7,42.95129521,-1.914941865,0.402326254,-4.75967413,1.94E-06,0.000282851
ENSG00000237268.2,410.8367646,1.834988465,0.385608567,4.758681787,1.95E-06,0.000282851
ENSG00000113441.11,11334.74326,1.38665906,0.293248378,4.728616291,2.26E-06,0.000325606
ENSG00000244694.3,4007.090942,1.380731567,0.292654655,4.717955247,2.38E-06,0.000340519
ENSG00000117226.7,1840.118448,1.539020295,0.326471755,4.714099375,2.43E-06,0.000344401
ENSG00000154822.11,5247.156978,1.351057208,0.28831649,4.686021276,2.79E-06,0.000392193
ENSG00000113249.8,10450.55364,-1.332053782,0.285406228,-4.667220445,3.05E-06,0.000423465
ENSG00000145287.6,1806.667503,1.57522323,0.337420515,4.668427559,3.04E-06,0.000423465
ENSG00000135480.10,8456.792745,-1.346967638,0.289214689,-4.657327892,3.20E-06,0.000441056
ENSG00000182240.11,482.0675344,1.91104,0.411100648,4.648593982,3.34E-06,0.000456788
ENSG00000244187.3,556.4482964,-1.597891309,0.344351071,-4.640297191,3.48E-06,0.000472071
ENSG00000127954.8,188.4448933,1.890005326,0.409910224,4.610778693,4.01E-06,0.000540416
ENSG00000182700.3,1423.368916,1.423144701,0.308872075,4.6075538,4.07E-06,0.000544943
ENSG00000183671.8,965.6362826,1.487998294,0.3233991,4.601120695,4.20E-06,0.000558063
ENSG00000135378.3,2960.481192,1.581785587,0.344473309,4.59189593,4.39E-06,0.000579206
ENSG00000225548.1,51.11838129,-1.862498676,0.40599004,-4.587547708,4.48E-06,0.000587262
ENSG00000137628.12,1060.013195,1.584139524,0.345700179,4.582408747,4.60E-06,0.000597705
ENSG00000210082.2,42855.07705,1.60897461,0.352283717,4.567269311,4.94E-06,0.000638095
ENSG00000145246.9,5116.182326,1.300292673,0.285675379,4.551644176,5.32E-06,0.000682671
ENSG00000143195.8,321.9837013,1.716445711,0.378816474,4.531074622,5.87E-06,0.000747528
ENSG00000091879.9,446.896077,1.632191674,0.36061883,4.526085543,6.01E-06,0.000760213
ENSG00000151025.9,1814.9193,1.366526188,0.302471666,4.517865113,6.25E-06,0.000779787
ENSG00000182253.10,700.0454181,1.515762109,0.335483216,4.518145874,6.24E-06,0.000779787
ENSG00000146592.12,404.3103711,1.758661128,0.389407595,4.516247633,6.29E-06,0.00078056
ENSG00000123636.13,3931.876841,1.378115466,0.306392582,4.49787478,6.86E-06,0.000845534
ENSG00000012779.6,2748.601688,1.346466369,0.299781673,4.491489944,7.07E-06,0.000854423
ENSG00000050438.12,1496.40294,-1.438663147,0.320226526,-4.492642027,7.03E-06,0.000854423
ENSG00000119125.12,988.8636686,1.467470812,0.326526591,4.494184704,6.98E-06,0.000854423
ENSG00000042832.7,37.36225246,-1.762375104,0.392821915,-4.486448028,7.24E-06,0.000859753
ENSG00000164683.12,1978.029189,-1.397146877,0.311361084,-4.487223829,7.22E-06,0.000859753
ENSG00000181381.9,4592.975648,1.401060551,0.312312823,4.486080771,7.25E-06,0.000859753
ENSG00000184305.10,1961.405099,1.508955705,0.336550304,4.483596321,7.34E-06,0.000864358
ENSG00000123104.7,6048.777765,1.270411846,0.284101074,4.471689693,7.76E-06,0.000908209
ENSG00000048740.13,2331.20093,1.639696349,0.367775449,4.458417099,8.26E-06,0.000960291
ENSG00000132164.5,38.63983205,-1.758977744,0.395806631,-4.444033039,8.83E-06,0.00102049
ENSG00000147459.13,4806.905159,1.266603914,0.286245277,4.424890179,9.65E-06,0.001108467
ENSG00000136997.10,2120.182029,-1.383211519,0.312936165,-4.420107596,9.87E-06,0.001126375
ENSG00000143669.9,1315.740313,1.417212993,0.321193208,4.412337989,1.02E-05,0.0011605
ENSG00000115758.8,49851.63431,-1.217021031,0.2763906,-4.403264909,1.07E-05,0.001202842
ENSG00000164181.9,1250.080057,1.529046504,0.347551148,4.39948627,1.09E-05,0.001216648
ENSG00000130821.11,1367.067254,-1.38969494,0.316463117,-4.391333041,1.13E-05,0.001255665
ENSG00000163328.9,624.0462424,1.505723546,0.343395614,4.384807157,1.16E-05,0.001286248
ENSG00000184384.9,1794.910086,1.32326545,0.302617448,4.372733491,1.23E-05,0.00135151
ENSG00000130707.13,3184.977804,-1.430216683,0.327497665,-4.367104978,1.26E-05,0.001378688
ENSG00000130595.12,2021.504796,-1.38516328,0.317288565,-4.365626219,1.27E-05,0.001379979
ENSG00000213240.7,793.202168,1.444512415,0.332568514,4.343503233,1.40E-05,0.00151779
ENSG00000198691.7,647.9040944,-1.601381963,0.369143294,-4.338103897,1.44E-05,0.001545182
ENSG00000239653.1,398.439076,1.714771862,0.39537772,4.337047273,1.44E-05,0.001545182
ENSG00000133138.15,751.960064,1.481855584,0.342026925,4.332569971,1.47E-05,0.001567993
ENSG00000067066.12,3064.373896,1.267360139,0.293225189,4.322139392,1.55E-05,0.001625535
ENSG00000080200.5,4520.252492,1.300198029,0.300751684,4.323161259,1.54E-05,0.001625535
ENSG00000047365.7,304.0736257,1.637595558,0.379636347,4.313590017,1.61E-05,0.001670943
ENSG00000107957.12,2166.299048,-1.354432008,0.313913295,-4.314669145,1.60E-05,0.001670943
ENSG00000147642.12,1099.938023,1.458165593,0.339344768,4.297003308,1.73E-05,0.001791006
ENSG00000182534.9,3230.155745,-1.272533934,0.296414874,-4.293083933,1.76E-05,0.001812913
ENSG00000132854.14,9887.156169,-1.253561397,0.29215487,-4.290742765,1.78E-05,0.001822122
ENSG00000163297.12,1422.941376,1.419727659,0.331237842,4.286127613,1.82E-05,0.00185026
ENSG00000143452.11,46.17791816,-1.71329146,0.400081728,-4.282353679,1.85E-05,0.001871758
ENSG00000135899.12,801.5525057,1.49139832,0.349372913,4.268786341,1.97E-05,0.001947196
ENSG00000138496.12,131.193921,1.790601834,0.419190477,4.271570883,1.94E-05,0.001947196
ENSG00000154265.11,1985.741589,1.294483912,0.303126311,4.270443921,1.95E-05,0.001947196
ENSG00000173597.4,602.6737565,1.47562265,0.345643344,4.269206038,1.96E-05,0.001947196
ENSG00000109654.10,1653.431207,1.443804201,0.338568589,4.264436364,2.00E-05,0.001975068
ENSG00000177791.11,558.3008567,-1.50403627,0.353611288,-4.253360455,2.11E-05,0.002064516
ENSG00000099256.14,34.274463,-1.643617439,0.38676946,-4.249605023,2.14E-05,0.002077677
ENSG00000151882.7,566.8351674,1.677279947,0.394638012,4.250173316,2.14E-05,0.002077677
ENSG00000211459.2,7487.775482,1.517066276,0.357349855,4.245325004,2.18E-05,0.002106821
ENSG00000102908.16,10907.66862,1.221442303,0.288808692,4.229243568,2.34E-05,0.002251594
ENSG00000187605.11,20760.8824,1.173178367,0.277975121,4.220443775,2.44E-05,0.00232937
ENSG00000106415.8,1983.738573,1.281525093,0.3044654,4.209099272,2.56E-05,0.002437013
ENSG00000184349.8,833.4001426,1.379249733,0.327798015,4.207620766,2.58E-05,0.002440619
ENSG00000121743.3,33.65690511,-1.619322479,0.385437033,-4.201263343,2.65E-05,0.002487547
ENSG00000197409.6,174.5381025,-1.711433278,0.407383321,-4.201039147,2.66E-05,0.002487547
ENSG00000273033.1,3169.889469,1.227556361,0.292313314,4.19945416,2.68E-05,0.00249256
ENSG00000251095.2,796.0872373,1.377290325,0.329817282,4.175919219,2.97E-05,0.002751139
ENSG00000120156.16,107.6101227,1.762387342,0.424098416,4.155609347,3.24E-05,0.002992511
ENSG00000119922.7,298.9818524,1.654794111,0.399856268,4.138472355,3.50E-05,0.00320919
ENSG00000172243.13,477.5624346,1.579905946,0.382393024,4.131628582,3.60E-05,0.003290139
ENSG00000229344.1,163.0055889,1.757419476,0.425859477,4.126759113,3.68E-05,0.003344243
ENSG00000120217.9,5603.858048,1.193293431,0.290417345,4.108891738,3.98E-05,0.003596307
ENSG00000057657.10,508.2574542,1.662827376,0.405367159,4.102027851,4.10E-05,0.003617325
ENSG00000130822.11,462.9517632,-1.554445697,0.37874747,-4.104174466,4.06E-05,0.003617325
ENSG00000134222.12,1628.742172,-1.258491401,0.306646541,-4.104045642,4.06E-05,0.003617325
ENSG00000169855.15,4528.173257,1.191676009,0.290367417,4.104027997,4.06E-05,0.003617325
ENSG00000174498.9,180.1466346,-1.668568727,0.406742252,-4.102275381,4.09E-05,0.003617325
ENSG00000104450.8,1066.829692,1.344489156,0.328070187,4.098175358,4.16E-05,0.003660779
ENSG00000228559.1,180.2644503,-1.686605729,0.412506196,-4.088679751,4.34E-05,0.003796059
ENSG00000256043.2,32.11301038,-1.557780029,0.38190839,-4.078936385,4.52E-05,0.003940281
ENSG00000154040.16,79.78691785,-1.737657232,0.426298569,-4.07615075,4.58E-05,0.003969296
ENSG00000114279.9,1055.790801,1.339619504,0.330129845,4.057856403,4.95E-05,0.004273546
ENSG00000154553.9,788.4622221,1.472960063,0.363137334,4.056206636,4.99E-05,0.004284086
ENSG00000152208.7,308.8247883,1.569718809,0.387552187,4.050341769,5.11E-05,0.004372833
ENSG00000118946.7,541.8120536,1.40603083,0.347927388,4.041161684,5.32E-05,0.004526945
ENSG00000183023.14,638.6473753,1.443265474,0.357690734,4.034953481,5.46E-05,0.004627288
ENSG00000233056.1,61266.96491,1.148584147,0.285588295,4.021818003,5.78E-05,0.004871087
ENSG00000131018.18,2223.943277,1.25776089,0.313167218,4.016259741,5.91E-05,0.004964987
ENSG00000050165.13,31.18667354,-1.520297724,0.379646745,-4.004506153,6.21E-05,0.005194251
ENSG00000120915.9,56.10935553,-1.647323792,0.411471701,-4.003492308,6.24E-05,0.005194251
ENSG00000260336.1,1017.903635,1.284545927,0.321414417,3.996541094,6.43E-05,0.005325417
ENSG00000233280.2,3879.396823,1.168176753,0.292612368,3.992233008,6.55E-05,0.005399235
ENSG00000152894.10,5686.867492,1.14453615,0.286886891,3.989503134,6.62E-05,0.005437793
ENSG00000115271.6,79.21182376,-1.699628913,0.426251784,-3.987382525,6.68E-05,0.005462652
ENSG00000196335.8,450.6135968,-1.431264023,0.359063031,-3.986108003,6.72E-05,0.005468184
ENSG00000266993.1,172.1941896,1.642577931,0.41228267,3.984106171,6.77E-05,0.005490607
ENSG00000168843.9,1038.285839,-1.501330505,0.377517939,-3.976845471,6.98E-05,0.005636509
ENSG00000170160.12,599.9297249,1.414091175,0.355726572,3.975219413,7.03E-05,0.005650803
ENSG00000134250.13,17307.19212,1.108507849,0.279120967,3.971424509,7.14E-05,0.005717058
ENSG00000171631.10,544.9343199,-1.417875029,0.357867556,-3.962010542,7.43E-05,0.005921981
ENSG00000215817.3,4923.760249,1.141937088,0.288470642,3.958590307,7.54E-05,0.005981958
ENSG00000102837.6,130.0499729,-1.65343577,0.419083472,-3.945361436,7.97E-05,0.006295369
ENSG00000198938.2,64076.10752,1.306063411,0.331214923,3.943250507,8.04E-05,0.006324378
ENSG00000183668.13,353.9161306,1.485179668,0.376825934,3.941288365,8.10E-05,0.006349665
ENSG00000166546.9,520.7119295,1.37765373,0.350134655,3.93463975,8.33E-05,0.006500819
ENSG00000150471.11,8249.030567,1.351456284,0.343714883,3.931910865,8.43E-05,0.006547792
ENSG00000104332.7,20455.28381,-1.115855768,0.284393568,-3.923632219,8.72E-05,0.006741992
ENSG00000142871.11,3582.9099,1.189308594,0.303171488,3.922890646,8.75E-05,0.006741992
ENSG00000139182.9,559.5870955,1.357641162,0.34618316,3.921742362,8.79E-05,0.006746446
ENSG00000186807.9,1016.793704,-1.299331773,0.33296934,-3.902256501,9.53E-05,0.00728365
ENSG00000115919.10,883.5326568,1.289320941,0.330634725,3.899532753,9.64E-05,0.007336128
ENSG00000165389.6,31677.79219,1.281507359,0.328902392,3.896315109,9.77E-05,0.007404131
ENSG00000138380.13,2403.981185,1.218794269,0.313114475,3.892487779,9.92E-05,0.007491623
ENSG00000100889.7,3028.00144,-1.20251528,0.309586105,-3.88426761,0.000102639,0.007707977
ENSG00000206538.3,52239.21258,1.205050852,0.310290155,3.883625805,0.00010291,0.007707977
ENSG00000003436.10,1080.199174,1.255747848,0.323756664,3.878677999,0.000105026,0.007835082
ENSG00000168268.6,675.6946996,-1.437601137,0.371426934,-3.870481664,0.000108621,0.008071109
ENSG00000189229.10,319.3917213,1.530711762,0.396316217,3.862349545,0.000112302,0.00831166
ENSG00000225745.4,347.0599612,1.557583753,0.403612891,3.859103081,0.000113804,0.00838968
ENSG00000145632.10,39890.36668,1.07403955,0.278949569,3.850300094,0.000117973,0.008662933
ENSG00000249790.2,5874.188704,1.125147975,0.29248302,3.846883062,0.00011963,0.008750283
ENSG00000058673.11,109415.5488,1.061932621,0.276473127,3.840997618,0.000122535,0.008927913
ENSG00000228253.1,732.3340125,1.434503635,0.374295838,3.83253964,0.000126827,0.0092048
ENSG00000141447.12,929.6987012,1.23852214,0.323311253,3.830742446,0.000127757,0.009236499
ENSG00000010361.9,192.1629822,-1.601201585,0.418501277,-3.826037516,0.000130222,0.009274983
ENSG00000121440.10,38.72145511,-1.488867375,0.388909451,-3.828313692,0.000129024,0.009274983
ENSG00000155130.5,794.6199744,1.418238402,0.370656543,3.826287243,0.00013009,0.009274983
ENSG00000225420.1,489.675961,1.500738874,0.392253009,3.825946107,0.000130271,0.009274983
ENSG00000133466.9,991.9292288,1.227889687,0.321734373,3.816470319,0.000135374,0.009601836
ENSG00000102287.12,8033.686284,1.273470327,0.334338844,3.808921254,0.000139574,0.00986238
ENSG00000144642.16,482.5987295,1.380311831,0.362596818,3.80674006,0.000140811,0.009875201
ENSG00000197153.3,9708.296638,-1.282952602,0.336989695,-3.807097435,0.000140607,0.009875201
ENSG00000110987.4,28.71644198,-1.418277414,0.37302695,-3.802077605,0.000143488,0.010025404
ENSG00000109819.4,51.28153717,-1.583761372,0.416917146,-3.798743679,0.000145431,0.010123431
ENSG00000266795.2,229.7331221,-1.504360154,0.396241455,-3.796574373,0.000146709,0.010174566
ENSG00000057704.6,5598.050251,1.172837527,0.310551226,3.776631453,0.000158964,0.010983745
ENSG00000153029.10,253.1782928,1.491170419,0.395424811,3.771059318,0.000162556,0.011108984
ENSG00000181827.10,1825.967436,1.15174073,0.3052967,3.772529251,0.000161601,0.011108984
