GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000207986.1,186.4788823,-2.29258473,0.344838707,-6.648281306,2.97E-11,2.80E-08
ENSG00000226428.1,48.5535604,-2.263471167,0.340693811,-6.643710848,3.06E-11,2.81E-08
ENSG00000263488.1,39.87591065,-2.339958608,0.352513199,-6.63793189,3.18E-11,2.85E-08
ENSG00000229605.4,51.35707056,-1.539776944,0.232258148,-6.629592794,3.37E-11,2.93E-08
ENSG00000230734.1,28.21332957,-2.014929367,0.304766438,-6.611388637,3.81E-11,3.23E-08
ENSG00000244538.1,195.1984717,-1.613417577,0.244475444,-6.599507713,4.13E-11,3.41E-08
ENSG00000234498.2,276.9177521,-1.299627614,0.197198004,-6.590470438,4.38E-11,3.54E-08
ENSG00000142102.11,2656.518112,1.719020426,0.261809788,6.565913526,5.17E-11,4.08E-08
ENSG00000271218.1,8.859429426,-2.941336678,0.448337401,-6.560542728,5.36E-11,4.13E-08
ENSG00000091513.10,13137.14339,-2.920400862,0.446376602,-6.542459548,6.05E-11,4.55E-08
ENSG00000213448.3,42.74694306,-1.869529171,0.286796096,-6.518670227,7.09E-11,5.22E-08
ENSG00000233370.1,65.03362928,-1.627184533,0.250385237,-6.498723936,8.10E-11,5.83E-08
ENSG00000104327.3,66.72318343,-2.890863432,0.457030119,-6.325323674,2.53E-10,1.78E-07
ENSG00000228363.2,27.72293594,-2.448625633,0.387425708,-6.320245622,2.61E-10,1.80E-07
ENSG00000141750.6,126.3655521,-2.617103571,0.414537006,-6.313317102,2.73E-10,1.85E-07
ENSG00000232729.3,11.95908566,-2.872796265,0.456457259,-6.293680749,3.10E-10,2.05E-07
ENSG00000176034.8,48.36113911,-2.298998051,0.367277988,-6.259558499,3.86E-10,2.51E-07
ENSG00000201201.1,53.13855695,-2.065170122,0.331239559,-6.234672357,4.53E-10,2.88E-07
ENSG00000201912.1,5180.276875,-1.412266629,0.227122764,-6.218076098,5.03E-10,3.14E-07
ENSG00000131591.13,813.54263,0.983862064,0.158306077,6.214935544,5.13E-10,3.15E-07
ENSG00000153266.8,173.0209451,-3.196773503,0.514650597,-6.211541426,5.25E-10,3.16E-07
ENSG00000222460.1,7.967890338,-2.613513914,0.423898416,-6.165425059,7.03E-10,4.16E-07
ENSG00000198918.7,8262.700013,-1.201748239,0.195092667,-6.159884217,7.28E-10,4.23E-07
ENSG00000233839.1,36.43863136,-1.688465562,0.274755812,-6.145331552,7.98E-10,4.55E-07
ENSG00000259221.1,105.7887521,-2.41226523,0.392751219,-6.141967521,8.15E-10,4.57E-07
ENSG00000225067.3,567.44325,-1.49917679,0.244577078,-6.129670058,8.81E-10,4.86E-07
ENSG00000268059.1,49.24839536,-2.139986657,0.350881471,-6.098887618,1.07E-09,5.80E-07
ENSG00000231416.1,402.4005745,-1.247884213,0.205523108,-6.071746518,1.27E-09,6.76E-07
ENSG00000139053.2,480.1702876,-2.925085373,0.484423358,-6.038283097,1.56E-09,8.17E-07
ENSG00000184612.8,16.43230092,-2.084951586,0.345417757,-6.036028966,1.58E-09,8.17E-07
ENSG00000184302.6,49.38188617,-2.767512136,0.458977132,-6.029738622,1.64E-09,8.36E-07
ENSG00000205325.1,69.43479065,-2.748667572,0.457517799,-6.007782825,1.88E-09,9.43E-07
ENSG00000109047.7,947.0760441,-2.908677225,0.485588429,-5.990005216,2.10E-09,1.01E-06
ENSG00000134438.9,123.6821614,-2.884078864,0.481331813,-5.99187252,2.07E-09,1.01E-06
ENSG00000171450.4,15.94130875,-2.927549002,0.488366911,-5.994568709,2.04E-09,1.01E-06
ENSG00000249931.3,29.11032949,2.018171288,0.337614682,5.977735547,2.26E-09,1.07E-06
ENSG00000224820.2,153.5045092,1.197672123,0.20180094,5.934918464,2.94E-09,1.33E-06
ENSG00000236824.1,455.978527,-1.968183281,0.331757508,-5.932596053,2.98E-09,1.33E-06
ENSG00000240803.2,491.9810277,-1.700695477,0.286609637,-5.933839121,2.96E-09,1.33E-06
ENSG00000268313.1,60.28585861,-1.65243469,0.278459243,-5.934206635,2.95E-09,1.33E-06
ENSG00000156076.5,1025.000552,-2.847614161,0.480482823,-5.926568079,3.09E-09,1.37E-06
ENSG00000144406.14,452.6356682,-1.568432146,0.265433687,-5.908941559,3.44E-09,1.50E-06
ENSG00000245526.4,154.9957659,-2.340743017,0.397940426,-5.882144323,4.05E-09,1.74E-06
ENSG00000161996.13,1827.623465,1.281724215,0.218002788,5.879393672,4.12E-09,1.75E-06
ENSG00000198054.7,12.46402768,-2.573085534,0.438259637,-5.871144225,4.33E-09,1.81E-06
ENSG00000242692.1,208.9511878,-1.346399728,0.229635447,-5.863205113,4.54E-09,1.86E-06
ENSG00000269243.1,10.27357351,-2.890915019,0.493040433,-5.863444102,4.53E-09,1.86E-06
ENSG00000147613.3,15.62499098,-3.037840466,0.519331799,-5.849517537,4.93E-09,1.99E-06
ENSG00000225405.3,141.4753784,-1.622230234,0.278037996,-5.834563099,5.39E-09,2.15E-06
ENSG00000224059.1,43.39449708,-1.921936538,0.329684583,-5.829622128,5.56E-09,2.16E-06
ENSG00000226086.5,198.3365852,-1.186295691,0.2034392,-5.831205062,5.50E-09,2.16E-06
ENSG00000241226.2,826.8045048,-1.454685202,0.249713112,-5.825425793,5.70E-09,2.19E-06
ENSG00000163646.6,19.7963622,-2.993906899,0.515558501,-5.807113826,6.36E-09,2.42E-06
ENSG00000207142.1,802.8665684,-2.415364652,0.41722227,-5.789155625,7.07E-09,2.66E-06
ENSG00000214784.4,3349.536424,-1.123224614,0.194271904,-5.781714132,7.39E-09,2.75E-06
ENSG00000138472.6,354.4833182,-2.973998787,0.515136386,-5.773226019,7.78E-09,2.86E-06
ENSG00000245205.3,416.6424782,-1.361748554,0.236112922,-5.767361414,8.05E-09,2.93E-06
ENSG00000267469.1,20.03897407,-2.616654787,0.454167158,-5.761435504,8.34E-09,3.00E-06
ENSG00000081148.11,4312.035954,-2.718280559,0.472184368,-5.756820305,8.57E-09,3.02E-06
