GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000158062.16,5212.269163,1.298771588,0.136123693,9.541113383,1.41E-21,1.92E-18
ENSG00000225923.1,63.70898344,-1.808539292,0.19117097,-9.46032389,3.07E-21,4.00E-18
ENSG00000233476.2,1566.174951,-1.375467936,0.146455017,-9.391743378,5.90E-21,7.40E-18
ENSG00000241431.1,128.8424622,-1.869305813,0.200570215,-9.319957158,1.16E-20,1.41E-17
ENSG00000229344.1,38.64941886,-2.431031049,0.261800597,-9.285811707,1.60E-20,1.87E-17
ENSG00000236144.2,827.743603,1.445267421,0.155764496,9.278542016,1.72E-20,1.93E-17
ENSG00000269968.1,1065.645228,-3.51888216,0.38035905,-9.251474794,2.21E-20,2.41E-17
ENSG00000226428.1,30.34690306,-2.640330653,0.285607353,-9.244617211,2.36E-20,2.48E-17
ENSG00000199218.1,14398.24507,-1.683205727,0.18324671,-9.185462192,4.10E-20,4.17E-17
ENSG00000198918.7,3337.507773,-1.461803039,0.159359801,-9.172972309,4.60E-20,4.53E-17
ENSG00000213352.3,278.0138813,-1.565469037,0.170713964,-9.170128788,4.72E-20,4.53E-17
ENSG00000061936.5,6360.431744,0.770071099,0.084734787,9.088016027,1.01E-19,9.39E-17
ENSG00000249637.1,377.9254237,1.297461748,0.145298659,8.92961959,4.27E-19,3.87E-16
ENSG00000218208.1,231.331254,-1.466510171,0.164427017,-8.918912436,4.71E-19,4.15E-16
ENSG00000201912.1,6380.226244,-1.506989476,0.169856238,-8.872146807,7.17E-19,6.15E-16
ENSG00000262211.1,90.97320951,-4.009226207,0.453696713,-8.836798008,9.85E-19,8.23E-16
ENSG00000201098.1,8936.555171,-1.959102964,0.222501956,-8.804879739,1.31E-18,1.07E-15
ENSG00000238105.3,1553.691347,1.637303929,0.186066534,8.799561623,1.37E-18,1.09E-15
ENSG00000242314.1,34.3543303,-2.37955438,0.270666239,-8.791470958,1.48E-18,1.15E-15
ENSG00000231416.1,214.8100487,-1.337553368,0.152198065,-8.788241621,1.52E-18,1.15E-15
ENSG00000202512.1,423.4759531,-1.858279002,0.212100135,-8.761328716,1.93E-18,1.40E-15
ENSG00000242527.1,65.8504503,-1.954046966,0.222987136,-8.763047958,1.90E-18,1.40E-15
ENSG00000237745.1,67.31496728,-1.637714965,0.187618296,-8.72897259,2.57E-18,1.78E-15
ENSG00000244582.2,77.22439996,-1.578276527,0.18080324,-8.729249125,2.56E-18,1.78E-15
ENSG00000238426.1,1189.068229,-2.668889053,0.306212427,-8.715809089,2.89E-18,1.96E-15
ENSG00000207061.1,250.6355169,-3.11462627,0.360023097,-8.651184584,5.10E-18,3.39E-15
ENSG00000265770.1,74.41053222,-1.784063321,0.207514835,-8.597280858,8.16E-18,5.32E-15
ENSG00000235253.1,27.9022037,-2.822530994,0.329281833,-8.571778676,1.02E-17,6.51E-15
ENSG00000182888.5,222.5819225,-1.512736906,0.176917308,-8.550530866,1.23E-17,7.68E-15
ENSG00000240151.2,9.003617822,-3.830963391,0.449671806,-8.519465405,1.60E-17,9.86E-15
ENSG00000213650.3,37.20872478,-1.815295375,0.213195434,-8.514701,1.67E-17,1.01E-14
ENSG00000265168.1,187.5372243,-3.307141842,0.389825797,-8.483640303,2.18E-17,1.29E-14
ENSG00000177595.13,893.1291605,1.506287825,0.178029182,8.460904022,2.65E-17,1.54E-14
ENSG00000161996.13,2622.025425,1.737623485,0.205795253,8.443457543,3.08E-17,1.67E-14
ENSG00000165724.5,32413.77351,1.888210778,0.223605888,8.444369684,3.06E-17,1.67E-14
ENSG00000214784.4,2336.503417,-1.102669268,0.130546532,-8.446561188,3.00E-17,1.67E-14
ENSG00000228331.2,79.20595617,-1.874695534,0.221929515,-8.447256468,2.98E-17,1.67E-14
ENSG00000173531.11,566.5125708,1.947986857,0.230852066,8.438247441,3.22E-17,1.72E-14
ENSG00000185615.11,165.4627839,2.877550903,0.343794734,8.369967946,5.76E-17,2.98E-14
ENSG00000214485.5,504.3415423,-1.618862753,0.193398575,-8.370603311,5.73E-17,2.98E-14
ENSG00000262877.3,1320.126144,2.506197195,0.299630869,8.364282377,6.05E-17,3.08E-14
ENSG00000141258.8,9911.580837,0.843112588,0.101101783,8.339245495,7.48E-17,3.75E-14
