locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
1:41492871-41707826,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,11.0595,11.1945,0.0175101,0.014035,0.9621,0.999983,no
6:111981534-112194655,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,38.352,45.4342,0.244477,0.237455,0.4462,0.999983,no
6:143069579-143266338,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,7.41218,7.5816,0.0326036,0.0276842,0.9216,0.999983,no
1:171216718-171255117,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.675954,0.543671,-0.314191,-0.158141,0.55405,0.999983,no
1:24069644-24104777,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,12.8935,11.5091,-0.163865,-0.233698,0.5652,0.999983,no
1:24117459-24122029,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,12.5848,12.4092,-0.0202668,-0.0273332,0.93965,0.999983,no
1:11821843-11908402,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.47346,4.03693,0.216884,0.13609,0.6331,0.999983,no
17:60704761-60770958,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,36.6543,50.282,0.456058,0.640683,0.12135,0.999983,no
17:49230896-49249108,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,16.0841,15.171,-0.084328,-0.0367995,0.9335,0.999983,no
5:149569519-149669854,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,NOTEST,0.0255704,0.019102,-0.420755,0,1,1,no
12:3186520-3395730,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,13.654,14.2932,0.0660002,0.0650647,0.82785,0.999983,no
14:93703895-93799438,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,6.21699,5.41576,-0.199053,-0.180687,0.5282,0.999983,no
19:3750816-3761697,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,4.53016,6.04658,0.416558,0.3983,0.3064,0.999983,no
17:56282802-56345879,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.14726,3.62152,0.202497,0.187939,0.50715,0.999983,no
3:43328003-43775863,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,11.9883,13.1346,0.131748,0.0625473,0.9069,0.999983,no
X:8496914-8700227,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,2.80432,2.76158,-0.0221563,-0.0210164,0.94095,0.999983,no
19:15464195-15529952,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,16.27,26.8129,0.720714,0.753672,0.02265,0.625347,no
17:49254785-49337524,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.1405,2.77028,-0.180965,-0.171084,0.6547,0.999983,no
17:49337888-49375297,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,18.7854,18.8744,0.00681812,0.00982462,0.9778,0.999983,no
7:5659677-5821370,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,12.5766,12.5441,-0.00373358,-0.00518948,0.9895,0.999983,no
17:15879873-16256970,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,14.159,14.1039,-0.00562826,-0.00411066,0.99295,0.999983,no
19:797074-812327,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,45.4774,53.3545,0.230462,0.265087,0.3377,0.999983,no
19:38701645-38720354,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,NOTEST,0.100756,0.0400131,-1.33232,0,1,1,no
11:61282784-61348620,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.638957,0.349902,-0.868765,-0.548517,0.0512,0.880348,no
3:45429997-45590913,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,5.00977,4.23483,-0.24244,-0.26512,0.4387,0.999983,no
11:17095935-17229530,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,42.077,37.1624,-0.179188,-0.0885838,0.6509,0.999983,no
19:44150246-44174699,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,9.75099,17.6247,0.853981,1.06596,0.0094,0.401211,no
