locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
1:9294833-9331396,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.62687,3.13829,-0.208745,-0.415815,0.33095,0.914706,no
1:7831328-7841492,AMD Peripheral Retina,Normal Peripheral Retina,OK,33.7903,30.6906,-0.13881,-0.110903,0.79965,0.999533,no
1:7844379-7913572,AMD Peripheral Retina,Normal Peripheral Retina,OK,16.5437,20.0006,0.273756,0.345085,0.2442,0.856541,no
1:7844379-7913572,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.122644,0.172801,0.494638,0.0329615,0.7075,0.999533,no
1:7979906-8000926,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0249797,0.0127229,-0.973325,0,1,1,no
17:48609903-48633213,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.335323,0.309861,-0.113931,-0.0280677,0.81405,0.999533,no
2:31747549-31806136,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.0737873,0.139922,0.923182,0.603532,0.17525,0.769542,no
2:33172038-33624576,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.22432,0.842951,-1.93548,-1.66647,5.00E-05,0.00446402,yes
11:31806339-32127301,AMD Peripheral Retina,Normal Peripheral Retina,OK,31.3656,23.3412,-0.426307,-0.426424,0.21085,0.820653,no
7:73442118-73484237,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.02812,2.09989,-0.528109,-0.552037,0.0492,0.44056,no
7:73645828-73668774,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.3867,13.3064,0.224767,0.362655,0.36005,0.927338,no
6:157099062-157531913,AMD Peripheral Retina,Normal Peripheral Retina,OK,12.3514,11.4435,-0.110151,-0.135895,0.70335,0.999533,no
5:1317858-1345214,AMD Peripheral Retina,Normal Peripheral Retina,OK,12.8386,11.5074,-0.157921,-0.236074,0.5416,0.985999,no
18:55711598-56068772,AMD Peripheral Retina,Normal Peripheral Retina,OK,37.6746,44.9812,0.25573,0.144584,0.58705,0.990017,no
X:49091926-49121288,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0653512,0.0752367,0.203222,0,1,1,no
X:49126305-49157929,AMD Peripheral Retina,Normal Peripheral Retina,OK,12.1399,14.9449,0.299897,0.556377,0.176,0.770876,no
5:73923233-74072737,AMD Peripheral Retina,Normal Peripheral Retina,OK,26.5364,27.2188,0.0366305,0.0442008,0.89085,0.999533,no
5:71515235-71656052,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.7163,3.98488,0.100671,0.0759446,0.85065,0.999533,no
